load,collision_rate,delivery_ratio,latency_norm,queue_occupancy,cw_min_norm,mult_norm,action_cw_min,action_cw_max,action_aifs,action_txop,reward,next_load,next_collision_rate,next_delivery_ratio,next_latency_norm,next_queue_occupancy,next_cw_min_norm,next_mult_norm,done
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.237103,0.624187,-0.200000,0.313725,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,-0.000992,0.828543,-0.600000,0.921569,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.999008,0.000000,1.000000,0.960784,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.999008,0.000000,-1.000000,0.098039,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.014881,0.296073,0.600000,0.098039,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.999008,0.000000,1.000000,-0.196078,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.110119,0.984392,0.200000,0.431373,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.046627,0.176899,-0.200000,0.098039,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.237103,0.786736,-1.000000,-0.725490,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.999008,0.000000,-1.000000,-0.803922,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.491071,0.000000,-0.200000,-0.666667,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.110119,0.217391,-0.200000,0.568627,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.491071,0.000000,-0.600000,-0.313725,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.110119,0.477146,-1.000000,-0.588235,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,-0.000992,0.535183,1.000000,-0.784314,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,-0.000992,0.928642,0.600000,-0.725490,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.014881,0.436052,1.000000,-0.098039,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.046627,0.932362,-1.000000,-0.607843,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.491071,0.000000,-0.600000,0.921569,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.014881,0.361531,0.600000,-0.431373,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.046627,0.937565,-1.000000,0.490196,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.999008,0.000000,1.000000,-0.333333,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,-0.000992,0.886026,1.000000,0.803922,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.110119,0.460424,0.600000,-0.941176,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.491071,0.000000,-0.600000,0.098039,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.110119,0.989967,0.200000,-0.823529,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.237103,0.280884,-0.200000,0.274510,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,-0.000992,0.148662,0.200000,-0.921569,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.237103,0.161248,-1.000000,-0.490196,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.046627,0.162331,-0.200000,0.450980,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,-0.000992,0.419227,-1.000000,0.000000,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,-0.000992,0.052527,0.200000,0.705882,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0.999008,0.000000,0.600000,-0.450980,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000992,0.500000,0
