protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness
GDCF,50,0.0200,308,0.0231,0.9877,0.0123,6.5072,0.9878,0.0113,0.9866,0.0134,6.9912,0.9868,0.0117,1.0000,0.0000,0.9365,1.0000
TD3,50,0.0200,308,0.0144,0.9817,0.0183,6.6982,0.9820,0.0113,0.9818,0.0182,6.8349,0.9821,0.0032,0.9774,0.0226,0.9189,0.9779
DCF,50,0.0200,309,0.0232,0.9716,0.0284,6.3619,0.9724,0.0111,0.9691,0.0309,6.8614,0.9700,0.0121,1.0000,0.0000,0.8966,1.0000
GDCF,50,0.0200,309,0.0215,0.9826,0.0174,6.5202,0.9829,0.0113,0.9812,0.0187,6.9482,0.9816,0.0103,1.0000,0.0000,0.9343,1.0000
TD3,50,0.0200,309,0.0167,0.9799,0.0201,6.6073,0.9803,0.0112,0.9791,0.0209,6.8389,0.9795,0.0054,1.0000,0.0000,0.8881,1.0000
DCF,50,0.0200,310,0.0157,0.9747,0.0253,6.6281,0.9753,0.0112,0.9791,0.0209,6.8056,0.9795,0.0044,0.8585,0.1415,1.2800,0.8760
GDCF,50,0.0200,310,0.0186,0.9679,0.0321,6.3966,0.9689,0.0111,0.9670,0.0330,6.7135,0.9680,0.0076,0.9841,0.0159,0.8432,0.9843
TD3,50,0.0200,310,0.0177,0.9527,0.0473,6.4303,0.9548,0.0110,0.9570,0.0430,6.7059,0.9587,0.0067,0.8762,0.1238,1.0803,0.8898
DCF,50,0.0200,311,0.0229,0.9739,0.0261,6.4286,0.9745,0.0112,0.9727,0.0273,6.9095,0.9734,0.0117,0.9876,0.0124,0.9609,0.9878
GDCF,50,0.0200,311,0.0209,0.9731,0.0269,6.4735,0.9738,0.0112,0.9738,0.0262,6.8703,0.9744,0.0097,0.9636,0.0364,1.0239,0.9649
TD3,50,0.0200,311,0.0246,0.9780,0.0220,6.2901,0.9785,0.0112,0.9759,0.0241,6.8296,0.9765,0.0134,1.0000,0.0000,0.9201,1.0000
DCF,50,0.0200,312,0.0263,0.9854,0.0146,6.4255,0.9856,0.0113,0.9845,0.0155,7.0275,0.9847,0.0150,0.9935,0.0065,1.0284,0.9936
GDCF,50,0.0200,312,0.0191,0.9841,0.0159,6.6248,0.9844,0.0113,0.9850,0.0150,6.9561,0.9852,0.0078,0.9696,0.0304,0.8956,0.9705
TD3,50,0.0200,312,0.0215,0.9592,0.0408,6.3693,0.9608,0.0110,0.9600,0.0400,6.7938,0.9615,0.0105,0.9490,0.0510,1.0372,0.9515
DCF,50,0.0200,313,0.0141,0.9848,0.0152,6.8033,0.9850,0.0113,0.9845,0.0155,6.9229,0.9847,0.0028,1.0000,0.0000,1.0679,1.0000
GDCF,50,0.0200,313,0.0197,0.9616,0.0384,6.4862,0.9630,0.0111,0.9650,0.0350,6.8146,0.9662,0.0087,0.9126,0.0874,1.4872,0.9196
TD3,50,0.0200,313,0.0345,0.9863,0.0137,6.3364,0.9864,0.0113,0.9839,0.0161,7.2372,0.9842,0.0233,1.0000,0.0000,1.1170,1.0000
DCF,50,0.0200,314,0.0210,0.9779,0.0221,6.4742,0.9784,0.0112,0.9791,0.0209,6.8765,0.9795,0.0098,0.9614,0.0386,0.9462,0.9629
GDCF,50,0.0200,314,0.0168,0.9839,0.0161,6.6461,0.9841,0.0113,0.9850,0.0150,6.8687,0.9852,0.0055,0.9574,0.0426,1.1878,0.9592
TD3,50,0.0200,314,0.0238,0.9650,0.0350,6.3558,0.9662,0.0111,0.9661,0.0339,6.8591,0.9672,0.0128,0.9543,0.0457,1.1404,0.9563
