protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness
DCF,50,0.02,300,0.0142,0.9895,0.0105,6.8569,0.9896,0.0113,0.9893,0.0107,6.9801,0.9894,0.0029,1.0000,0.0000,1.0702,1.0000
GDCF,50,0.0200,300,0.0183,0.9786,0.0214,6.6412,0.9790,0.0112,0.9775,0.0225,6.9381,0.9780,0.0070,1.0000,0.0000,0.9995,1.0000
TD3,50,0.0200,300,0.0196,0.9725,0.0275,6.4880,0.9732,0.0112,0.9734,0.0266,6.8372,0.9741,0.0085,0.9584,0.0416,0.9859,0.9601
DCF,50,0.0200,301,0.0208,0.9923,0.0077,6.5524,0.9924,0.0114,0.9934,0.0066,6.9281,0.9934,0.0094,0.9772,0.0228,1.1235,0.9777
GDCF,50,0.0200,301,0.0220,0.9808,0.0192,6.4959,0.9812,0.0112,0.9796,0.0204,6.9205,0.9800,0.0108,0.9955,0.0045,1.2029,0.9955
TD3,50,0.0200,301,0.0145,0.9687,0.0313,6.5846,0.9697,0.0111,0.9702,0.0298,6.7289,0.9710,0.0034,0.9150,0.0850,0.9821,0.9217
DCF,50,0.0200,302,0.0220,0.9818,0.0182,6.4893,0.9821,0.0112,0.9807,0.0193,6.9117,0.9811,0.0107,0.9955,0.0045,1.1929,0.9955
GDCF,50,0.0200,302,0.0222,0.9805,0.0195,6.5266,0.9809,0.0112,0.9796,0.0204,6.9799,0.9800,0.0110,0.9912,0.0088,0.9767,0.9912
TD3,50,0.0200,302,0.0196,0.9902,0.0098,6.5643,0.9903,0.0114,0.9904,0.0096,6.9000,0.9904,0.0083,0.9883,0.0117,1.0573,0.9884
DCF,50,0.0200,303,0.0149,0.9767,0.0233,6.6243,0.9772,0.0112,0.9770,0.0230,6.7781,0.9775,0.0037,0.9677,0.0323,1.0140,0.9688
GDCF,50,0.0200,303,0.0227,0.9931,0.0069,6.4493,0.9931,0.0114,0.9925,0.0075,6.9151,0.9926,0.0113,1.0000,0.0000,0.8690,1.0000
TD3,50,0.0200,303,0.0209,0.9930,0.0070,6.6266,0.9930,0.0114,0.9925,0.0075,7.0129,0.9926,0.0095,1.0000,0.0000,1.1066,1.0000
DCF,50,0.0200,304,0.0154,0.9720,0.0280,6.5860,0.9727,0.0111,0.9718,0.0282,6.7667,0.9726,0.0043,0.9775,0.0225,0.9331,0.9780
GDCF,50,0.0200,304,0.0203,0.9767,0.0233,6.6258,0.9772,0.0112,0.9796,0.0204,6.9846,0.9800,0.0090,0.9343,0.0657,1.3055,0.9384
TD3,50,0.0200,304,0.0210,0.9780,0.0220,6.4533,0.9785,0.0112,0.9770,0.0230,6.8547,0.9775,0.0098,0.9926,0.0074,0.9896,0.9926
DCF,50,0.0200,305,0.0146,0.9911,0.0089,6.8538,0.9912,0.0114,0.9909,0.0091,6.9925,0.9910,0.0032,1.0000,0.0000,1.0190,1.0000
GDCF,50,0.0200,305,0.0161,0.9933,0.0067,6.6566,0.9933,0.0114,0.9930,0.0070,6.8549,0.9931,0.0047,1.0000,0.0000,0.9142,1.0000
TD3,50,0.0200,305,0.0201,0.9834,0.0166,6.5832,0.9837,0.0113,0.9861,0.0139,6.9500,0.9863,0.0088,0.9449,0.0551,0.9581,0.9478
DCF,50,0.0200,306,0.0183,0.9766,0.0234,6.4979,0.9771,0.0112,0.9754,0.0246,6.7960,0.9759,0.0071,1.0000,0.0000,0.8825,1.0000
GDCF,50,0.0200,306,0.0245,0.9757,0.0243,6.5214,0.9762,0.0112,0.9770,0.0230,7.0675,0.9775,0.0133,0.9628,0.0372,1.0196,0.9641
TD3,50,0.0200,306,0.0191,0.9705,0.0295,6.4613,0.9713,0.0111,0.9695,0.0305,6.7894,0.9704,0.0080,0.9879,0.0121,0.9971,0.9880
DCF,50,0.0200,307,0.0199,0.9753,0.0247,6.5668,0.9759,0.0112,0.9748,0.0252,6.9304,0.9754,0.0087,0.9834,0.0166,0.9908,0.9837
GDCF,50,0.0200,307,0.0171,0.9779,0.0221,6.5758,0.9784,0.0112,0.9770,0.0230,6.8205,0.9775,0.0059,1.0000,0.0000,0.9982,1.0000
TD3,50,0.0200,307,0.0161,0.9643,0.0357,6.5305,0.9655,0.0111,0.9666,0.0334,6.7349,0.9677,0.0051,0.9079,0.0921,1.1852,0.9157
DCF,50,0.0200,308,0.0183,0.9820,0.0180,6.4778,0.9823,0.0113,0.9811,0.0189,6.7666,0.9814,0.0071,1.0000,0.0000,1.0066,1.0000
