protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness,avg_cw_min,avg_cw_max,avg_aifsn
TD3,50,0.02,900,0.0130,0.9417,0.0583,10.1854,0.9449,0.0094,0.9400,0.0600,10.4336,0.9434,0.0036,1.0000,0.0000,2.3553,1.0000,15.0000,1023.0000,3.0000
TD3,50,0.0400,900,0.0193,0.9481,0.0519,9.6374,0.9507,0.0095,0.9478,0.0522,10.2893,0.9503,0.0098,0.9524,0.0476,2.0687,0.9545,15.0000,1023.0000,3.0000
TD3,50,0.0600,900,0.0164,0.9444,0.0556,9.5252,0.9474,0.0094,0.9412,0.0588,9.9898,0.9445,0.0069,1.0000,0.0000,1.9804,1.0000,15.0000,1023.0000,3.0000
TD3,50,0.0200,901,0.0264,0.9399,0.0601,9.2441,0.9433,0.0094,0.9363,0.0637,10.2940,0.9401,0.0170,0.9639,0.0361,2.3034,0.9651,15.0000,1023.0000,3.0000
TD3,50,0.0400,901,0.0166,0.9469,0.0531,9.9118,0.9496,0.0095,0.9449,0.0551,10.3539,0.9478,0.0071,0.9797,0.0203,2.8542,0.9801,15.0000,1023.0000,3.0000
TD3,50,0.0600,901,0.0138,0.9125,0.0875,9.9986,0.9196,0.0091,0.9102,0.0898,10.3315,0.9176,0.0047,0.9697,0.0303,2.2664,0.9706,1023.0000,1024.0000,5.0000
TD3,50,0.0200,902,0.0207,0.9776,0.0224,9.6329,0.9781,0.0098,0.9755,0.0245,10.3549,0.9761,0.0110,1.0000,0.0000,1.9286,1.0000,15.0000,1023.0000,3.0000
TD3,50,0.0400,902,0.0174,0.9561,0.0439,9.6598,0.9579,0.0096,0.9559,0.0441,10.1854,0.9578,0.0078,0.9581,0.0419,1.9661,0.9598,15.0000,1023.0000,3.0000
TD3,50,0.0600,902,0.0172,0.9617,0.0383,9.7292,0.9631,0.0096,0.9608,0.0392,10.2582,0.9623,0.0075,0.9747,0.0253,1.6433,0.9753,15.0000,1023.0000,3.0000
