protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness
DCF,50,0.06,200,0.0213,0.9524,0.0476,6.2805,0.9545,0.0109,0.9487,0.0512,6.7007,0.9512,0.0104,1.0000,0.0000,1.0271,1.0000
GDCF,50,0.0600,200,0.0196,0.9742,0.0258,6.5096,0.9749,0.0112,0.9775,0.0225,6.8530,0.9780,0.0084,0.9245,0.0755,1.0305,0.9298
TD3,50,0.0600,200,0.0162,0.9762,0.0238,6.5808,0.9768,0.0112,0.9754,0.0246,6.7824,0.9759,0.0050,1.0000,0.0000,1.2107,1.0000
DCF,50,0.0600,201,0.0226,0.9803,0.0197,6.4668,0.9807,0.0113,0.9823,0.0177,6.9288,0.9826,0.0113,0.9565,0.0435,0.9662,0.9583
GDCF,50,0.0600,201,0.0221,0.9871,0.0129,6.5160,0.9873,0.0113,0.9861,0.0139,6.9422,0.9863,0.0108,1.0000,0.0000,1.1674,1.0000
TD3,50,0.0600,201,0.0141,0.9713,0.0287,6.6383,0.9721,0.0112,0.9770,0.0230,6.7586,0.9775,0.0029,0.7647,0.2353,1.0125,0.8095
DCF,50,0.0600,202,0.0275,0.9880,0.0120,6.4244,0.9882,0.0113,0.9866,0.0134,7.0743,0.9868,0.0162,1.0000,0.0000,0.9922,1.0000
GDCF,50,0.0600,202,0.0154,0.9787,0.0213,6.5915,0.9791,0.0112,0.9780,0.0220,6.7662,0.9785,0.0042,1.0000,0.0000,0.9624,1.0000
TD3,50,0.0600,202,0.0191,0.9882,0.0118,6.7045,0.9883,0.0113,0.9882,0.0118,7.0266,0.9884,0.0078,0.9876,0.0124,1.1001,0.9877
DCF,50,0.0600,203,0.0194,0.9763,0.0237,6.5019,0.9768,0.0112,0.9748,0.0252,6.8346,0.9754,0.0083,1.0000,0.0000,1.1281,1.0000
GDCF,50,0.0600,203,0.0159,0.9755,0.0245,6.6716,0.9761,0.0112,0.9754,0.0246,6.8717,0.9759,0.0047,0.9797,0.0203,1.0101,0.9801
TD3,50,0.0600,203,0.0200,0.9811,0.0189,6.5687,0.9814,0.0113,0.9823,0.0177,6.9364,0.9826,0.0088,0.9624,0.0376,0.9186,0.9637
DCF,50,0.0600,204,0.0212,0.9618,0.0382,6.4607,0.9632,0.0111,0.9650,0.0350,6.8659,0.9662,0.0101,0.9219,0.0781,1.1592,0.9275
GDCF,50,0.0600,204,0.0213,0.9907,0.0093,6.5597,0.9908,0.0114,0.9900,0.0100,6.9688,0.9901,0.0099,1.0000,0.0000,0.9602,1.0000
TD3,50,0.0600,204,0.0171,0.9792,0.0208,6.6262,0.9796,0.0113,0.9823,0.0177,6.8705,0.9826,0.0058,0.9115,0.0885,0.9566,0.9187
DCF,50,0.0600,205,0.0181,0.9652,0.0348,6.5290,0.9664,0.0111,0.9652,0.0348,6.8085,0.9664,0.0070,0.9663,0.0337,1.2650,0.9674
GDCF,50,0.0600,205,0.0196,0.9894,0.0106,6.7146,0.9895,0.0114,0.9898,0.0102,7.0611,0.9899,0.0082,0.9825,0.0175,1.0150,0.9828
TD3,50,0.0600,205,0.0235,0.9795,0.0205,6.5196,0.9799,0.0112,0.9780,0.0220,7.0173,0.9785,0.0123,0.9960,0.0040,1.1108,0.9961
DCF,50,0.0600,206,0.0176,0.9598,0.0402,6.4446,0.9614,0.0110,0.9593,0.0407,6.7143,0.9609,0.0066,0.9710,0.0290,1.0386,0.9718
GDCF,50,0.0600,206,0.0208,0.9695,0.0305,6.4535,0.9704,0.0111,0.9691,0.0309,6.8433,0.9700,0.0097,0.9753,0.0247,1.0992,0.9759
TD3,50,0.0600,206,0.0205,0.9865,0.0135,6.6410,0.9866,0.0113,0.9855,0.0145,7.0149,0.9857,0.0092,1.0000,0.0000,1.1822,1.0000
DCF,50,0.0600,207,0.0179,0.9803,0.0197,6.6206,0.9806,0.0112,0.9796,0.0204,6.8962,0.9800,0.0067,0.9928,0.0072,1.1031,0.9928
GDCF,50,0.0600,207,0.0160,0.9666,0.0334,6.5017,0.9677,0.0111,0.9661,0.0339,6.7128,0.9672,0.0049,0.9806,0.0194,0.8481,0.9810
TD3,50,0.0600,207,0.0330,0.9874,0.0126,6.3110,0.9875,0.0113,0.9877,0.0123,7.1417,0.9878,0.0216,0.9855,0.0145,1.1192,0.9857
DCF,50,0.0600,208,0.0181,0.9684,0.0316,6.4316,0.9694,0.0111,0.9673,0.0327,6.7201,0.9684,0.0070,0.9897,0.0103,0.9856,0.9898
