protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness
GDCF,50,0.0600,208,0.0150,0.9844,0.0156,6.6823,0.9846,0.0113,0.9839,0.0161,6.8446,0.9842,0.0037,1.0000,0.0000,0.8408,1.0000
TD3,50,0.0600,208,0.0144,0.9832,0.0168,6.7200,0.9835,0.0113,0.9829,0.0171,6.8444,0.9831,0.0031,1.0000,0.0000,1.3253,1.0000
DCF,50,0.0600,209,0.0126,0.9731,0.0269,6.6341,0.9738,0.0112,0.9729,0.0271,6.6932,0.9736,0.0014,1.0000,0.0000,1.0874,1.0000
GDCF,50,0.0600,209,0.0196,0.9834,0.0166,6.5763,0.9836,0.0113,0.9850,0.0150,6.9257,0.9852,0.0083,0.9575,0.0425,0.8749,0.9592
TD3,50,0.0600,209,0.0264,0.9841,0.0159,6.3885,0.9843,0.0113,0.9823,0.0177,6.9982,0.9826,0.0151,1.0000,0.0000,0.9528,1.0000
DCF,50,0.0600,210,0.0192,0.9909,0.0091,6.6860,0.9910,0.0114,0.9904,0.0096,7.0254,0.9904,0.0078,1.0000,0.0000,0.8222,1.0000
GDCF,50,0.0600,210,0.0213,0.9854,0.0146,6.6057,0.9856,0.0113,0.9855,0.0145,7.0274,0.9857,0.0100,0.9831,0.0169,0.8868,0.9834
TD3,50,0.0600,210,0.0290,0.9768,0.0232,6.3243,0.9773,0.0112,0.9738,0.0262,7.0267,0.9744,0.0178,1.0000,0.0000,1.0769,1.0000
DCF,50,0.0600,211,0.0234,0.9856,0.0144,6.5438,0.9858,0.0113,0.9850,0.0150,7.0293,0.9852,0.0121,0.9920,0.0080,1.1443,0.9921
GDCF,50,0.0600,211,0.0160,0.9755,0.0245,6.6435,0.9761,0.0112,0.9764,0.0236,6.8468,0.9770,0.0048,0.9515,0.0485,0.9702,0.9537
TD3,50,0.0600,211,0.0173,0.9800,0.0200,6.5530,0.9804,0.0112,0.9796,0.0204,6.7939,0.9800,0.0060,0.9880,0.0120,1.2026,0.9881
DCF,50,0.0600,212,0.0142,0.9687,0.0313,6.6081,0.9697,0.0111,0.9680,0.0320,6.7433,0.9690,0.0031,1.0000,0.0000,0.8392,1.0000
GDCF,50,0.0600,212,0.0193,0.9826,0.0174,6.6193,0.9829,0.0113,0.9829,0.0171,6.9511,0.9831,0.0080,0.9792,0.0208,1.0680,0.9796
TD3,50,0.0600,212,0.0139,0.9649,0.0351,6.5509,0.9661,0.0111,0.9654,0.0346,6.6695,0.9665,0.0029,0.9435,0.0565,1.0714,0.9466
DCF,50,0.0600,213,0.0200,0.9754,0.0246,6.4857,0.9759,0.0112,0.9748,0.0252,6.8486,0.9754,0.0088,0.9836,0.0164,0.9662,0.9838
GDCF,50,0.0600,213,0.0289,0.9940,0.0060,6.5666,0.9940,0.0114,0.9939,0.0061,7.2785,0.9940,0.0175,0.9945,0.0055,1.0408,0.9945
TD3,50,0.0600,213,0.0151,0.9659,0.0341,6.5473,0.9670,0.0111,0.9677,0.0323,6.7121,0.9687,0.0040,0.9111,0.0889,1.1013,0.9184
DCF,50,0.0600,214,0.0171,0.9694,0.0306,6.5174,0.9703,0.0111,0.9680,0.0320,6.7757,0.9690,0.0060,1.0000,0.0000,0.8491,1.0000
GDCF,50,0.0600,214,0.0160,0.9858,0.0142,6.6695,0.9860,0.0113,0.9855,0.0145,6.8679,0.9857,0.0047,0.9948,0.0052,0.9368,0.9948
TD3,50,0.0600,214,0.0188,0.9885,0.0115,6.6203,0.9886,0.0113,0.9879,0.0121,6.9297,0.9880,0.0075,1.0000,0.0000,1.0101,1.0000
