protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness,avg_cw_min,avg_cw_max,avg_aifsn
GDCF,50,0.0600,2014,0.0204,0.9870,0.0130,6.2268,0.9872,0.0117,0.9879,0.0121,6.5443,0.9881,0.0086,0.9724,0.0276,1.0675,0.9732,63.0000,895.1200,3.0000
DCF,50,0.0600,2015,0.0280,0.9889,0.0111,6.3585,0.9890,0.0117,0.9876,0.0124,6.9810,0.9877,0.0162,1.0000,0.0000,0.9934,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0600,2015,0.0129,0.9891,0.0109,6.4066,0.9892,0.0117,0.9890,0.0110,6.4544,0.9891,0.0012,1.0000,0.0000,0.7724,1.0000,63.0000,900.6800,3.0000
DCF,50,0.0600,2016,0.0220,0.9914,0.0086,6.4740,0.9915,0.0118,0.9908,0.0092,6.8721,0.9909,0.0103,1.0000,0.0000,1.0180,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0600,2016,0.0159,0.9933,0.0067,6.4220,0.9933,0.0118,0.9931,0.0069,6.5762,0.9932,0.0041,1.0000,0.0000,1.1550,1.0000,63.0000,934.0400,3.0000
DCF,50,0.0600,2017,0.0236,0.9888,0.0112,6.4505,0.9889,0.0117,0.9878,0.0122,6.9068,0.9880,0.0119,1.0000,0.0000,1.0797,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0600,2017,0.0129,0.9851,0.0149,6.3793,0.9853,0.0117,0.9862,0.0138,6.4258,0.9864,0.0012,0.8675,0.1325,0.8422,0.8830,63.0000,900.6800,3.0000
DCF,50,0.0600,2018,0.0248,0.9739,0.0261,6.2930,0.9746,0.0116,0.9766,0.0234,6.7914,0.9771,0.0132,0.9474,0.0526,1.0718,0.9501,0.0000,0.0000,0.0000
GDCF,50,0.0600,2018,0.0264,0.9881,0.0119,6.0758,0.9883,0.0117,0.9872,0.0128,6.6036,0.9874,0.0147,0.9967,0.0033,1.0332,0.9967,63.0000,895.1200,3.0000
DCF,50,0.0600,2019,0.0164,0.9834,0.0166,6.5371,0.9837,0.0117,0.9832,0.0168,6.7223,0.9835,0.0047,0.9897,0.0103,1.0160,0.9898,0.0000,0.0000,0.0000
GDCF,50,0.0600,2019,0.0171,0.9861,0.0139,6.2558,0.9863,0.0117,0.9866,0.0134,6.4557,0.9867,0.0054,0.9735,0.0265,1.0565,0.9741,63.0000,895.1200,3.0000
