protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness,avg_cw_min,avg_cw_max,avg_aifsn
GDCF,50,0.0200,2003,0.0192,0.9553,0.0447,6.5094,0.9572,0.0096,0.9571,0.0429,6.9649,0.9589,0.0096,0.9336,0.0664,1.0874,0.9378,63.0000,895.1200,3.0000
TD3,50,0.0200,2003,0.0182,0.9329,0.0671,9.5171,0.9371,0.0093,0.9306,0.0694,10.0830,0.9351,0.0089,0.9628,0.0372,2.3889,0.9641,1023.0000,1024.0000,3.0000
DCF,50,0.0400,2003,0.0136,0.9585,0.0415,6.9153,0.9602,0.0096,0.9571,0.0429,7.1138,0.9589,0.0040,1.0000,0.0000,1.2384,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0400,2003,0.0099,0.9455,0.0545,6.6695,0.9483,0.0095,0.9453,0.0547,6.6936,0.9481,0.0004,1.0000,0.0000,0.4649,1.0000,63.0000,891.7000,3.0000
TD3,50,0.0400,2003,0.0146,0.9451,0.0549,9.7588,0.9479,0.0095,0.9473,0.0527,10.1259,0.9500,0.0051,0.8966,0.1034,1.5649,0.9062,1023.0000,1024.0000,3.0000
DCF,50,0.0600,2003,0.0164,0.8761,0.1239,6.3166,0.8897,0.0089,0.8898,0.1102,6.6750,0.9007,0.0075,0.7183,0.2817,1.2108,0.7802,0.0000,0.0000,0.0000
GDCF,50,0.0600,2003,0.0147,0.9579,0.0421,6.6182,0.9596,0.0096,0.9596,0.0404,6.8672,0.9612,0.0051,0.9204,0.0796,0.9892,0.9262,63.0000,895.1200,3.0000
TD3,50,0.0600,2003,0.0171,0.9555,0.0445,9.6040,0.9574,0.0096,0.9535,0.0465,10.1284,0.9555,0.0076,0.9873,0.0127,1.7010,0.9874,1023.0000,1024.0000,3.0000
DCF,50,0.0200,2004,0.0176,0.9209,0.0791,6.3647,0.9267,0.0092,0.9188,0.0812,6.7800,0.9249,0.0084,0.9503,0.0497,0.9303,0.9526,0.0000,0.0000,0.0000
GDCF,50,0.0200,2004,0.0172,0.9608,0.0392,6.5260,0.9623,0.0096,0.9584,0.0416,6.8536,0.9600,0.0076,1.0000,0.0000,1.5637,1.0000,63.0000,900.6800,3.0000
TD3,50,0.0200,2004,0.0137,0.9432,0.0568,9.8195,0.9463,0.0094,0.9412,0.0588,10.1288,0.9445,0.0043,1.0000,0.0000,1.6199,1.0000,1023.0000,1024.0000,3.0000
DCF,50,0.0400,2004,0.0186,0.9246,0.0754,6.4345,0.9299,0.0093,0.9286,0.0714,6.8807,0.9333,0.0092,0.8791,0.1209,1.0639,0.8921,0.0000,0.0000,0.0000
GDCF,50,0.0400,2004,0.0190,0.9441,0.0559,6.3256,0.9471,0.0094,0.9412,0.0588,6.7589,0.9445,0.0095,0.9799,0.0201,1.2026,0.9803,63.0000,889.5600,3.0000
TD3,50,0.0400,2004,0.0127,0.9285,0.0715,9.5195,0.9333,0.0093,0.9265,0.0735,9.7516,0.9316,0.0034,1.0000,0.0000,1.8851,1.0000,1023.0000,1024.0000,3.0000
DCF,50,0.0600,2004,0.0162,0.9263,0.0737,6.5088,0.9314,0.0093,0.9278,0.0722,6.8356,0.9326,0.0068,0.9032,0.0968,1.2037,0.9118,0.0000,0.0000,0.0000
GDCF,50,0.0600,2004,0.0136,0.9302,0.0698,6.4034,0.9348,0.0093,0.9278,0.0722,6.6101,0.9326,0.0043,1.0000,0.0000,1.0028,1.0000,63.0000,864.3600,3.0000
TD3,50,0.0600,2004,0.0120,0.9648,0.0352,10.2877,0.9660,0.0097,0.9641,0.0359,10.4519,0.9653,0.0023,1.0000,0.0000,2.0320,1.0000,1023.0000,1024.0000,3.0000
