protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness,avg_cw_min,avg_cw_max,avg_aifsn
DCF,50,0.0600,1003,0.0121,0.9437,0.0563,6.7115,0.9467,0.0095,0.9424,0.0576,6.8482,0.9456,0.0026,1.0000,0.0000,0.8661,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0600,1003,0.0176,0.9345,0.0655,6.2904,0.9385,0.0094,0.9331,0.0669,6.6703,0.9373,0.0082,0.9545,0.0455,1.1203,0.9565,63.0000,862.1600,3.0000
TD3,50,0.0600,1003,0.0155,0.9452,0.0548,9.9784,0.9481,0.0095,0.9424,0.0576,10.3859,0.9456,0.0061,1.0000,0.0000,2.3908,1.0000,1023.0000,1024.0000,3.0000
DCF,50,0.0200,1004,0.0135,0.9758,0.0242,6.8885,0.9764,0.0098,0.9751,0.0249,7.0712,0.9757,0.0037,1.0000,0.0000,1.0661,1.0000,0.0000,0.0000,0.0000
GDCF,50,0.0200,1004,0.0151,0.9451,0.0549,6.4040,0.9479,0.0095,0.9424,0.0576,6.6778,0.9456,0.0057,1.0000,0.0000,0.9556,1.0000,63.0000,884.0000,3.0000
TD3,50,0.0200,1004,0.0141,0.9337,0.0663,9.9189,0.9378,0.0094,0.9318,0.0682,10.2359,0.9362,0.0047,0.9798,0.0202,2.4559,0.9802,1023.0000,1024.0000,3.0000
DCF,50,0.0400,1004,0.0215,0.9443,0.0557,6.6179,0.9473,0.0095,0.9453,0.0547,7.1973,0.9481,0.0120,0.9351,0.0649,1.1404,0.9391,0.0000,0.0000,0.0000
GDCF,50,0.0400,1004,0.0171,0.9754,0.0246,6.6561,0.9760,0.0098,0.9739,0.0261,6.9998,0.9745,0.0073,1.0000,0.0000,1.1527,1.0000,63.0000,912.3000,3.0000
TD3,50,0.0400,1004,0.0140,0.9710,0.0290,10.1650,0.9718,0.0098,0.9767,0.0233,10.4716,0.9773,0.0042,0.8350,0.1650,1.6326,0.8583,1023.0000,1024.0000,3.0000
DCF,50,0.0600,1004,0.0167,0.9581,0.0419,6.7092,0.9598,0.0096,0.9580,0.0420,7.0643,0.9597,0.0071,0.9603,0.0397,0.9604,0.9618,0.0000,0.0000,0.0000
GDCF,50,0.0600,1004,0.0185,0.9451,0.0549,6.4781,0.9480,0.0095,0.9510,0.0490,6.8710,0.9533,0.0090,0.8762,0.1238,1.5026,0.8898,63.0000,900.6800,3.0000
TD3,50,0.0600,1004,0.0202,0.9370,0.0630,9.4423,0.9407,0.0094,0.9351,0.0649,10.1927,0.9391,0.0108,0.9567,0.0433,1.6635,0.9585,1023.0000,1024.0000,3.0000
