protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness,avg_cw_min,avg_cw_max,avg_aifsn
GDCF,50,0.02,700,0.0170,0.9754,0.0246,6.6315,0.9759,0.0098,0.9739,0.0261,6.9660,0.9745,0.0072,1.0000,0.0000,1.2016,1.0000,15.0000,1023.0000,3.0000
GDCF,50,0.0400,700,0.0240,0.9372,0.0628,6.3224,0.9409,0.0093,0.9310,0.0690,7.0258,0.9355,0.0146,0.9868,0.0132,0.9566,0.9870,15.0000,1023.0000,3.0000
GDCF,50,0.0600,700,0.0119,0.9508,0.0492,6.8913,0.9531,0.0095,0.9498,0.0502,7.0167,0.9522,0.0023,1.0000,0.0000,0.8108,1.0000,15.0000,1023.0000,3.0000
GDCF,50,0.0200,701,0.0169,0.9596,0.0404,6.7641,0.9612,0.0096,0.9571,0.0429,7.1408,0.9589,0.0073,1.0000,0.0000,0.8761,1.0000,15.0000,1023.0000,3.0000
GDCF,50,0.0400,701,0.0141,0.9626,0.0374,6.9195,0.9640,0.0097,0.9620,0.0380,7.1469,0.9634,0.0044,0.9783,0.0217,0.9620,0.9787,15.4600,895.1200,3.0000
GDCF,50,0.0600,701,0.0174,0.9831,0.0169,6.7993,0.9834,0.0099,0.9820,0.0180,7.1538,0.9824,0.0076,1.0000,0.0000,1.2965,1.0000,15.0000,1023.0000,3.0000
GDCF,50,0.0200,702,0.0164,0.9417,0.0583,6.6781,0.9449,0.0095,0.9449,0.0551,7.0135,0.9478,0.0069,0.8924,0.1076,1.1712,0.9029,15.0000,1023.0000,3.0000
GDCF,50,0.0400,702,0.0176,0.9644,0.0356,6.7930,0.9656,0.0097,0.9620,0.0380,7.2011,0.9634,0.0080,1.0000,0.0000,0.8918,1.0000,15.0000,1023.0000,3.0000
GDCF,50,0.0600,702,0.0194,0.9553,0.0447,6.7028,0.9573,0.0096,0.9571,0.0429,7.1885,0.9589,0.0098,0.9349,0.0651,1.0370,0.9389,15.0000,1023.0000,3.0000
