protocol,num_nodes,offered_load,seed,throughput_mbps_per_node,delivery_ratio,collision_rate,avg_latency_ms,fairness,crit_throughput,crit_delivery_ratio,crit_collision_rate,crit_avg_latency_ms,crit_fairness,be_throughput,be_delivery_ratio,be_collision_rate,be_avg_latency_ms,be_fairness,avg_cw_min,avg_cw_max,avg_aifsn
GDCF_ORIG,50,0.0600,2008,0.0160,0.9705,0.0295,6.4475,0.9713,0.0115,0.9695,0.0305,6.6316,0.9704,0.0045,1.0000,0.0000,0.8211,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0600,2009,0.0197,0.9926,0.0074,6.5277,0.9927,0.0118,0.9925,0.0075,6.8363,0.9926,0.0079,0.9938,0.0062,1.0210,0.9939,0.0000,0.0000,0.0000
GDCF_ORIG,50,0.0600,2009,0.0155,0.9841,0.0159,6.5654,0.9844,0.0117,0.9841,0.0159,6.7123,0.9844,0.0038,0.9830,0.0170,1.1212,0.9833,15.0000,1023.0000,3.0000
DCF,50,0.0600,2010,0.0146,0.9888,0.0112,6.6523,0.9890,0.0117,0.9886,0.0114,6.7606,0.9887,0.0028,1.0000,0.0000,1.2683,1.0000,0.0000,0.0000,0.0000
GDCF_ORIG,50,0.0600,2010,0.0215,0.9852,0.0148,6.4720,0.9854,0.0117,0.9859,0.0141,6.8585,0.9861,0.0098,0.9757,0.0243,0.9740,0.9763,15.0000,1023.0000,3.0000
DCF,50,0.0600,2011,0.0253,0.9931,0.0069,6.4573,0.9931,0.0118,0.9924,0.0076,6.9864,0.9925,0.0135,1.0000,0.0000,0.9332,1.0000,0.0000,0.0000,0.0000
GDCF_ORIG,50,0.0600,2011,0.0220,0.9956,0.0044,6.5504,0.9956,0.0118,0.9953,0.0047,6.9547,0.9953,0.0102,1.0000,0.0000,0.9664,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0600,2012,0.0181,0.9757,0.0243,6.4683,0.9763,0.0116,0.9749,0.0251,6.7236,0.9756,0.0065,0.9925,0.0075,1.0277,0.9926,0.0000,0.0000,0.0000
GDCF_ORIG,50,0.0600,2012,0.0253,0.9866,0.0134,6.3919,0.9868,0.0117,0.9859,0.0141,6.9112,0.9861,0.0136,0.9940,0.0060,1.0575,0.9941,15.0000,1023.0000,3.0000
DCF,50,0.0600,2013,0.0251,0.9879,0.0121,6.3986,0.9881,0.0117,0.9869,0.0131,6.9262,0.9871,0.0134,0.9988,0.0012,0.8806,0.9988,0.0000,0.0000,0.0000
GDCF_ORIG,50,0.0600,2013,0.0163,0.9693,0.0307,6.4497,0.9703,0.0115,0.9693,0.0307,6.6430,0.9702,0.0048,0.9703,0.0297,0.9048,0.9712,15.0000,1023.0000,3.0000
DCF,50,0.0600,2014,0.0154,0.9822,0.0178,6.5515,0.9825,0.0117,0.9817,0.0183,6.7004,0.9821,0.0038,1.0000,0.0000,1.0694,1.0000,0.0000,0.0000,0.0000
GDCF_ORIG,50,0.0600,2014,0.0202,0.9862,0.0138,6.5807,0.9863,0.0117,0.9879,0.0121,6.9199,0.9881,0.0085,0.9577,0.0423,0.9858,0.9594,15.0000,1023.0000,3.0000
DCF,50,0.0600,2015,0.0280,0.9889,0.0111,6.3585,0.9890,0.0117,0.9876,0.0124,6.9810,0.9877,0.0162,1.0000,0.0000,0.9934,1.0000,0.0000,0.0000,0.0000
GDCF_ORIG,50,0.0600,2015,0.0129,0.9877,0.0123,6.7128,0.9878,0.0117,0.9876,0.0124,6.7631,0.9877,0.0012,1.0000,0.0000,0.8038,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0600,2016,0.0220,0.9914,0.0086,6.4740,0.9915,0.0118,0.9908,0.0092,6.8721,0.9909,0.0103,1.0000,0.0000,1.0180,1.0000,0.0000,0.0000,0.0000
GDCF_ORIG,50,0.0600,2016,0.0159,0.9946,0.0054,6.7276,0.9947,0.0118,0.9945,0.0055,6.8928,0.9945,0.0041,1.0000,0.0000,1.0787,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0600,2017,0.0236,0.9888,0.0112,6.4505,0.9889,0.0117,0.9878,0.0122,6.9068,0.9880,0.0119,1.0000,0.0000,1.0797,1.0000,0.0000,0.0000,0.0000
GDCF_ORIG,50,0.0600,2017,0.0131,0.9898,0.0102,6.6702,0.9899,0.0118,0.9897,0.0103,6.7269,0.9898,0.0014,1.0000,0.0000,0.7934,1.0000,15.0000,1023.0000,3.0000
DCF,50,0.0600,2018,0.0248,0.9739,0.0261,6.2930,0.9746,0.0116,0.9766,0.0234,6.7914,0.9771,0.0132,0.9474,0.0526,1.0718,0.9501,0.0000,0.0000,0.0000
GDCF_ORIG,50,0.0600,2018,0.0263,0.9865,0.0135,6.3677,0.9866,0.0117,0.9859,0.0141,6.9216,0.9861,0.0146,0.9922,0.0078,1.0596,0.9923,15.0000,1023.0000,3.0000
DCF,50,0.0600,2019,0.0164,0.9834,0.0166,6.5371,0.9837,0.0117,0.9832,0.0168,6.7223,0.9835,0.0047,0.9897,0.0103,1.0160,0.9898,0.0000,0.0000,0.0000
GDCF_ORIG,50,0.0600,2019,0.0172,0.9864,0.0136,6.5629,0.9866,0.0117,0.9859,0.0141,6.7795,0.9861,0.0055,1.0000,0.0000,1.0829,1.0000,15.0000,1023.0000,3.0000
