episode,timesteps,mean_reward,r_thr,r_coll,r_lat,r_cw,avg_cw_vo,avg_cw_be,pdr,collision_rate,alpha,actor_loss,critic_loss
18,1800,-0.5116007122126229,0.8578729291148238,-0.8739540093581124,-0.3795079017640555,-0.11601173020527858,246.72,346.68,0.41736399376125854,0.5826360062387415,0.7883185258071497,-7.966923713684082,0.4419921040534973
19,1900,-0.8317861784755154,0.4799084267917318,-0.8437683241211896,-0.3637151374510427,-0.10421114369501465,242.52,290.52,0.43748778391920695,0.562512216080793,0.7652783011669384,-8.47300910949707,1.1093069314956665
20,2000,0.1780828126978478,1.4559365767024222,-0.8224064396748701,-0.35464576030233375,-0.10080156402737052,238.52,277.08,0.45172904021675314,0.5482709597832468,0.7429319988298724,-8.834310531616211,0.5995000600814819
21,2100,0.13038979013690918,1.3270332134856222,-0.7554200598574377,-0.32564174081287833,-0.11558162267839688,298.92,292.28,0.496386626761708,0.5036133732382919,0.7213073220240064,-9.249974250793457,1.028538465499878
22,2200,-0.2532198513803439,0.9214782085160571,-0.7318309408309933,-0.3160401395932669,-0.12682697947214075,314.68,334.04,0.512112706112671,0.48788729388732904,0.7003515681068867,-9.802663803100586,1.0593161582946777
23,2300,-0.7107839219981593,0.48774691823285304,-0.7578484971060416,-0.32610169796368027,-0.11458064516129034,282.12,303.96,0.4947676685959723,0.5052323314040277,0.6800679637598603,-10.045632362365723,1.500635027885437
24,2400,-0.9331952397635406,0.3819789004053401,-0.8492029492646458,-0.3661549641202664,-0.0998162267839687,239.88,270.68,0.43386470049023623,0.5661352995097638,0.6603319814450462,-10.266045570373535,1.2397794723510742
25,2500,-0.40868537080829354,0.7820653739635298,-0.7559479399522948,-0.3253990902545237,-0.10940371456500488,271.16,288.44,0.4960347066984701,0.5039652933015298,0.6411903993251938,-10.795610427856445,1.440208911895752
26,2600,0.16625411464054202,1.2439799613464089,-0.6610325556397495,-0.28498654619808195,-0.13170674486803519,352.44,321.24,0.5593116295735003,0.44068837042649966,0.6226245646352296,-10.925024032592773,1.0000739097595215
27,2700,-1.0548250669826058,0.17440609094034648,-0.7819123267740429,-0.33713310289866505,-0.11018572825024439,255.96,307.64,0.4787251154839713,0.5212748845160287,0.6045925426864449,-11.497077941894531,0.8649379014968872
28,2800,-0.30804281855544513,0.8185903150811535,-0.6956925810632829,-0.3006101517913019,-0.13033040078201372,313.24,353.4,0.5362049459578112,0.46379505404218874,0.5870147644960878,-11.386453628540039,1.6975483894348145
29,2900,-0.2616015842283364,0.9343964424088154,-0.7580219024925359,-0.32655481427169314,-0.1114213098729228,261.8,308.12,0.49465206500497616,0.505347934995024,0.569974502853769,-12.191493034362793,2.4040427207946777
30,3000,0.13290080958976153,1.221589790453112,-0.6736348536281467,-0.2908077929243533,-0.12424633431085046,275.24,360.28,0.5509100975812355,0.44908990241876445,0.55344027806133,-12.003433227539062,2.1601004600524902
31,3100,-0.7878769778548945,0.4166876894421829,-0.7616109386698756,-0.3283887237396163,-0.11456500488758553,236.6,349.4,0.49225937422008287,0.5077406257799172,0.5373932490875781,-12.232928276062012,1.2282973527908325
32,3200,-0.9553807022707465,0.33236847402329384,-0.8264218813199242,-0.3562402959516331,-0.10508699902248292,229.56,307.96,0.4490520791200503,0.5509479208799497,0.5217942429934241,-12.440218925476074,3.401226043701172
33,3300,-0.5436183065929687,0.6974772414091811,-0.7966579612130341,-0.3441521517940032,-0.10028543499511242,199.88,313.08,0.4688946925246438,0.5311053074753562,0.5066332952362573,-12.474753379821777,1.5931174755096436
34,3400,-0.47617946010128137,0.7335334869170141,-0.7720926231772387,-0.33243948317634525,-0.10518084066471164,260.6,277.4,0.4852715845485075,0.5147284154514924,0.4919328812593031,-12.819734573364258,2.403521776199341
35,3500,-0.7863227004077622,0.4162967661079305,-0.7540079462346544,-0.32555384677175175,-0.12305767350928644,273.16,356.28,0.4973280358435636,0.5026719641564363,0.477625219299154,-12.787330627441406,1.5219383239746094
36,3600,-0.590598847642904,0.5908261059333111,-0.7440984627288266,-0.32143206269489566,-0.11589442815249269,251.4,341.4,0.5039343581807824,0.4960656418192177,0.46376390194823197,-12.845378875732422,1.2511072158813477
37,3700,-0.691367845759132,0.4866027454846867,-0.7410839921358472,-0.3204134808284014,-0.11647311827956992,233.88,361.88,0.5059440052427685,0.4940559947572315,0.4503195134325037,-12.43391227722168,1.3726027011871338
38,3800,-0.1794134671800832,0.9955069608197264,-0.7443856101788345,-0.32116238380337997,-0.1093724340175953,228.76,330.68,0.5037429265474437,0.4962570734525563,0.4372851776200899,-12.944520950317383,2.4730634689331055
39,3900,-0.3880744756720654,0.7584118606722651,-0.7167579657345425,-0.3093608241777255,-0.12036754643206259,263.72,351.96,0.5221613561769718,0.4778386438230282,0.4246617287094821,-12.712536811828613,3.2068088054656982
40,4000,-0.2407779971572853,0.9280829901896557,-0.7439738336126023,-0.320613448944505,-0.10427370478983383,222.36,311.0,0.5040174442582652,0.4959825557417347,0.4123762422143358,-12.927509307861328,1.460672378540039
41,4100,-0.33820161487725464,0.8105704859803073,-0.7209653415444444,-0.31017626077939314,-0.11763049853372437,281.56,320.12,0.5193564389703704,0.48064356102962963,0.40051296499775996,-12.859010696411133,1.6596286296844482
42,4200,-0.7423014412221124,0.4347646385220857,-0.7315427024202557,-0.3162565151538545,-0.129266862170088,307.0,354.2,0.512304865053163,0.4876951349468371,0.3890728024492237,-13.083500862121582,1.75510835647583
43,4300,-0.19036518275806377,0.867483867595738,-0.6534123543227308,-0.28167618772217556,-0.12276050830889539,246.2,381.72,0.5643917637848461,0.4356082362151538,0.3780212138697628,-12.74480152130127,3.3552663326263428
44,4400,-1.014715023784529,0.15135232507595975,-0.7184553366673607,-0.3115729115088658,-0.13603910068426198,280.04,415.8,0.5210297755550927,0.4789702244449073,0.3672976435647126,-12.729949951171875,1.8435370922088623
45,4500,0.014436851172203724,1.0537994162260889,-0.6435240854106423,-0.2773946868768692,-0.1184437927663734,239.16,366.68,0.5709839430595718,0.4290160569404282,0.35688055172730704,-12.789935111999512,3.6699349880218506
46,4600,-1.0006356438867539,0.12495420507767141,-0.6761827156696952,-0.2952096748392069,-0.15419745845552296,328.44,460.28,0.5492115228868698,0.4507884771131301,0.3467902384375299,-13.170619010925293,3.4400789737701416
47,4700,-0.7087321700737144,0.37325484595541936,-0.6535703331993613,-0.2830872595648654,-0.1453294232649071,319.08,424.28,0.5642864445337592,0.43571355546624096,0.33703189789051535,-12.77267074584961,2.501791477203369
48,4800,-0.4831512162620451,0.6091588284226107,-0.6741531791887542,-0.2915332095819232,-0.1266236559139785,258.6,389.08,0.5505645472074974,0.44943545279250274,0.3274900901514414,-12.571381568908691,2.6916747093200684
49,4900,0.010430829743555166,1.1467816772456036,-0.7236592408731849,-0.3115928774011023,-0.10109872922776147,232.04,285.08,0.5175605060845435,0.4824394939154565,0.31831676495207767,-12.462803840637207,3.4818286895751953
50,5000,0.4310843001476223,1.5308368048684529,-0.7105239579024102,-0.3053497589396325,-0.08387878787878789,185.56,243.48,0.5263173613983931,0.4736826386016068,0.309422856579492,-12.518266677856445,2.4169297218322754
51,5100,-0.5011395319181229,0.530212476749109,-0.6156570074557912,-0.26623654568846894,-0.14945845552297166,350.12,414.36,0.5895619950294726,0.41043800497052735,0.300835288288679,-12.359524726867676,4.069482803344727
52,5200,0.139082161454337,1.237039178292229,-0.7008916960836485,-0.30158144978650137,-0.09548387096774193,215.8,272.6,0.5327388692775678,0.4672611307224323,0.29250181543669335,-12.105777740478516,2.224761724472046
53,5300,-0.45410335757991716,0.487855734483269,-0.5446553039819931,-0.23534875386809417,-0.1619550342130987,363.0,465.4,0.6368964640120046,0.3631035359879954,0.2844349251063822,-12.14625072479248,2.3592286109924316
54,5400,-0.25079711908854474,0.8235942795217359,-0.6671767133008448,-0.287832476120775,-0.11938220918866083,291.96,318.68,0.5552155244661036,0.4447844755338965,0.27663822589737236,-12.386571884155273,2.1657052040100098
55,5500,-0.025778999270806423,1.039065105708276,-0.6676103608090561,-0.28754850467833515,-0.10968523949169111,252.6,308.44,0.5549264261272959,0.445073573872704,0.2691444236513675,-12.097959518432617,4.883768558502197
56,5600,0.38486739434501016,1.528772149616243,-0.732155854922624,-0.31517021022153174,-0.09657869012707725,217.56,276.44,0.5118960967182508,0.48810390328174924,0.26192870340332536,-11.963339805603027,3.736354351043701
57,5700,-0.6704721406110616,0.31397958538551446,-0.5698222676532034,-0.24690316313320654,-0.1677262952101662,399.72,458.2,0.6201184882311978,0.37988151176880225,0.25500682422987025,-12.032787322998047,2.203094720840454
58,5800,-0.6312971650809431,0.39632869728605663,-0.602385948900595,-0.2615488088720742,-0.1636911045943304,381.8,455.48,0.5984093673996033,0.40159063260039685,0.24823223580319442,-12.31340503692627,2.749256134033203
59,5900,0.23444740737763026,1.343993147648171,-0.7009786181014903,-0.30219762070277467,-0.10636950146627566,222.52,321.56,0.5326809212656731,0.4673190787343269,0.24168244857827126,-12.020886421203613,3.165349245071411
60,6000,-0.2512312462454527,0.8050810047305269,-0.6448150785714275,-0.27858612646124803,-0.132911045943304,288.2,391.64,0.5701232809523816,0.42987671904761837,0.2353614778882692,-11.996562004089355,3.649829387664795
61,6100,0.07285241424723034,1.1830075961555842,-0.6968780133795913,-0.3001823493694272,-0.1130948191593353,270.68,307.8,0.5354146577469392,0.46458534225306086,0.2292921571492301,-12.237743377685547,2.1167783737182617
62,6200,-0.8316297316884111,0.19394604777992733,-0.5941176505646603,-0.2568813938108142,-0.17457673509286412,462.76,430.2,0.6039215662902265,0.3960784337097734,0.22328345070098768,-11.598376274108887,4.2641401290893555
63,6300,0.3054217491459954,1.3941397794294017,-0.6815529747615074,-0.29413279745738297,-0.11303225806451613,223.96,354.2,0.5456313501589949,0.4543686498410051,0.2174173276333112,-11.021499633789062,4.030799865722656
64,6400,0.31277141612911163,1.4505676326642085,-0.7249292672838301,-0.31247203234022103,-0.10039491691104593,202.52,311.0,0.5167138218107801,0.48328617818921993,0.21179447658560013,-11.725418090820312,5.918573379516602
65,6500,-0.3459057552556984,0.5728935365974122,-0.5316776270080659,-0.22938950453223922,-0.15773216031280549,359.16,447.64,0.6455482486612893,0.3544517513387106,0.20634523150843417,-12.11588191986084,2.571450710296631
66,6600,0.33727497830359227,1.4088042689800282,-0.6717716682393686,-0.28997854130314726,-0.10977908113391985,191.96,369.56,0.5521522211737544,0.44784777882624566,0.20098054975719146,-11.982789039611816,4.275954723358154
67,6700,0.24444577132103223,1.326755545650052,-0.6740153507677988,-0.29075776666972525,-0.1175366568914956,228.12,373.08,0.5506564328214674,0.44934356717853263,0.19579921840526707,-11.720102310180664,2.831427574157715
68,6800,-0.831790334056462,0.16528680755304648,-0.5600039099484249,-0.24433813879695848,-0.19273509286412513,531.0,454.84,0.6266640600343836,0.3733359399656165,0.19070526238027533,-11.680723190307617,3.7071690559387207
69,6900,-0.5968308628365755,0.35433664195932446,-0.5449543809481497,-0.23559337800219782,-0.1706197458455523,429.88,442.84,0.6366970793679001,0.3633029206320998,0.18567015658927807,-11.19913101196289,3.244760751724243
70,7000,0.3399417971906587,1.4699967765706998,-0.7158665030735482,-0.30841330524099936,-0.10577517106549364,227.8,313.24,0.5227556646176346,0.47724433538236544,0.1808615813945516,-11.500171661376953,4.151017189025879
71,7100,0.09721052830464336,1.1644480467780887,-0.6640589500358581,-0.2864552057787403,-0.11672336265884653,242.84,354.2,0.5572940333094281,0.44270596669057205,0.1761170026365674,-10.819080352783203,2.9645278453826904
72,7200,0.01857844015590337,1.0819317705250986,-0.6589574587988096,-0.28398140431720864,-0.12041446725317692,282.2,333.72,0.5606950274674604,0.43930497253253975,0.17157866451660939,-10.462580680847168,2.5041861534118652
73,7300,-0.9848594921808419,0.12377164601909692,-0.645961850284716,-0.27971718625344366,-0.18295210166177914,512.32,423.48,0.569358766476856,0.430641233523144,0.1671032019765823,-10.840991973876953,3.784271240234375
74,7400,-0.20842897216997827,0.8164284054712754,-0.6308328054868872,-0.2719053150673672,-0.12211925708699903,249.96,374.68,0.5794447963420751,0.42055520365792487,0.16264461420938475,-11.026103973388672,3.6209049224853516
75,7500,-0.946987132514292,0.2973078882091899,-0.7577916213823569,-0.33260310608599325,-0.15390029325513196,378.44,408.76,0.49480558574509553,0.5051944142549045,0.1583265226442892,-10.970972061157227,2.8889598846435547
76,7600,-1.2291488218163107,0.2726425681121843,-0.9511911250218229,-0.4193470879760756,-0.1312531769305963,217.48,453.88,0.36587258331878464,0.6341274166812153,0.15439834264549857,-10.599508285522461,5.062689781188965
77,7700,0.0909183466797598,1.2556962659206312,-0.729606633532773,-0.3154449904979323,-0.11972629521016617,196.44,415.96,0.5135955776448181,0.4864044223551819,0.15088925444496326,-10.487149238586426,3.5561821460723877
78,7800,-0.5987374182384222,0.6337643969997595,-0.7673753799220681,-0.3346943727550189,-0.13043206256109482,209.6,457.56,0.48841641338528796,0.511583586614712,0.14714228248458985,-10.795681953430176,3.2145304679870605
79,7900,-0.7283969417667743,0.5687862063035,-0.821643122362684,-0.35631421925597695,-0.1192258064516129,198.52,411.32,0.4522379184248772,0.5477620815751227,0.14341850005935855,-10.506616592407227,3.073032855987549
80,8000,-0.8769441090096357,0.46079775861457284,-0.8481483361913597,-0.36726313065083543,-0.1223304007820137,242.4,383.32,0.43456777587242695,0.565432224127573,0.1398417086903002,-9.505910873413086,5.920354843139648
81,8100,-0.3312824789413806,0.7914174953871417,-0.6996946014080894,-0.3024657834776176,-0.12053958944281523,214.36,402.2,0.5335369323946072,0.4664630676053928,0.13621670807234074,-9.454202651977539,6.360274791717529
82,8200,0.2843145402098204,1.3401327238631506,-0.6583150882522244,-0.28409547076767444,-0.11340762463343107,220.76,359.32,0.5611232744985171,0.43887672550148293,0.13263238152388634,-10.539185523986816,4.271095275878906
83,8300,0.36570343455391024,1.4397137818021335,-0.680766352303514,-0.2932870056973977,-0.09995698924731183,207.0,304.28,0.5461557651309907,0.45384423486900927,0.12930610769224954,-9.935437202453613,4.072333335876465
84,8400,0.171735107972611,1.2982136912363702,-0.7192558351630894,-0.30979948319353395,-0.09742326490713588,186.04,312.28,0.5204961098912738,0.4795038901087262,0.12675465284738777,-10.517374038696289,4.745743274688721
85,8500,-0.21426480686520155,1.161850093289335,-0.9125027101146236,-0.39210485866161376,-0.07150733137829911,197.48,168.28,0.3916648599235843,0.6083351400764156,0.12598522233019321,-11.24280834197998,2.9222774505615234
86,8600,0.2905388835331623,1.4597369346765487,-0.740403302936446,-0.3180459701033236,-0.11074877810361684,364.6,201.88,0.5063977980423693,0.4936022019576306,0.12444788250332534,-10.907273292541504,3.3615665435791016
87,8700,-0.661148966228718,0.6473540353389892,-0.8361415251348179,-0.3600330306850884,-0.11232844574780058,383.88,190.68,0.4425723165767879,0.557427683423212,0.12238329688278839,-10.920086860656738,2.517192840576172
88,8800,0.20443315032254433,1.3202489262482473,-0.7017189114595568,-0.3024409504876514,-0.11165591397849461,278.36,292.76,0.5321873923602956,0.46781260763970445,0.11981051631996835,-11.003286361694336,4.735852241516113
89,8900,-1.3784578736194228,0.06794294263788977,-0.9250079506270934,-0.39844467403686595,-0.12294819159335287,457.72,171.16,0.383328032915271,0.616671967084729,0.11690105415570728,-9.853572845458984,2.83891224861145
90,9000,0.06881081001898878,1.086807610153964,-0.6269746469893932,-0.2707328080820433,-0.12028934506353861,233.56,381.72,0.5820169020070712,0.4179830979929288,0.11391573328481748,-9.63138484954834,2.1554808616638184
91,9100,-0.8786614536682431,0.4074058809567711,-0.8224041988902825,-0.35389969487451667,-0.10976344086021506,343.24,218.2,0.4517305340731449,0.5482694659268551,0.11093479051251859,-10.56822395324707,2.542743682861328
92,9200,-0.1644346560129379,0.9568522218435246,-0.7102832951100126,-0.3065812953564206,-0.10442228739002933,207.12,327.0,0.5264778032599916,0.47352219674000834,0.10811845624424629,-9.806720733642578,1.5915911197662354
93,9300,0.12608310306694956,1.203133185597637,-0.6751449253699218,-0.29137534288901606,-0.11052981427174975,226.52,338.84,0.5499033830867187,0.4500966169132811,0.10581583239480595,-9.430302619934082,3.203462600708008
94,9400,0.33130136114043574,1.4296282061603423,-0.6943727089136982,-0.29911738146300193,-0.10483675464320624,241.56,294.68,0.5370848607242013,0.4629151392757988,0.10362219085590378,-9.69430160522461,1.9471057653427124
95,9500,-1.213313701985075,0.36265399445186836,-1.0484945218194104,-0.45064815017960547,-0.07682502443792766,262.76,130.2,0.301003652120393,0.6989963478796071,0.10129143349065416,-9.695281982421875,2.653707504272461
96,9600,-1.0117701519467048,0.41099622391299123,-0.9333060422235786,-0.401006765698678,-0.08845356793743891,272.16,180.28,0.3777959718509476,0.6222040281490524,0.09902483463496747,-9.488353729248047,2.771322250366211
97,9700,-0.46866153851022707,0.5683898177612522,-0.6456894150421543,-0.2782749422068421,-0.11308699902248287,237.04,341.4,0.569540389971897,0.43045961002810296,0.09643912047382193,-8.773025512695312,2.1448206901550293
98,9800,0.14533667473651737,1.253572194117735,-0.6952354490654109,-0.29927964020828013,-0.11372043010752689,303.0,278.68,0.5365097006230594,0.46349029937694064,0.0939654507260374,-9.569792747497559,2.8196938037872314
99,9900,-0.04921487644812201,0.9671950102671922,-0.6203442076011775,-0.2677059528189267,-0.1283597262952102,292.12,364.44,0.5864371949325483,0.41356280506745163,0.0917014453344582,-9.019712448120117,2.3529152870178223
100,10000,-1.3703126437678557,0.08538026955316029,-0.9600290088438342,-0.41414679792781706,-0.0815171065493646,259.88,157.08,0.35998066077077717,0.6400193392292227,0.08948575887611318,-9.264900207519531,2.9894495010375977
101,10100,-0.9753475340330355,0.29281266868820316,-0.8174204745928872,-0.3526204710413524,-0.09811925708699903,264.16,237.72,0.4550530169380751,0.5449469830619249,0.08717961352567108,-8.845190048217773,2.900320053100586
102,10200,0.2628790429105943,1.3711203692348348,-0.6951898269963944,-0.29945619140995733,-0.11359530791788858,276.76,304.28,0.536540115335737,0.46345988466426297,0.08485107043737705,-8.71051025390625,4.6117143630981445
103,10300,-0.0033076895495684133,1.003653469597343,-0.6196271233126114,-0.2675451795293144,-0.11978885630498533,256.6,356.12,0.5869152511249256,0.41308474887507435,0.08311294703542109,-8.798145294189453,2.843904972076416
104,10400,-0.264615424369875,0.7496591489733023,-0.6314648717557421,-0.2722642470419807,-0.11054545454545453,232.68,332.76,0.5790234188295053,0.4209765811704947,0.08168602682130506,-8.714899063110352,2.8490281105041504
105,10500,-0.14658991118629025,0.9036051848062198,-0.661598852039999,-0.2847604668264114,-0.1038357771260997,240.6,290.52,0.5589340986400007,0.44106590135999924,0.08043400296691801,-8.523581504821777,2.4819986820220947
106,10600,-0.636060106804201,0.6972403040545343,-0.8838615390813758,-0.37947992749583465,-0.06995894428152492,199.8,158.04,0.41075897394574956,0.5892410260542504,0.07936511118391679,-9.420745849609375,2.6251425743103027
107,10700,0.5284578806279985,1.7765902821072501,-0.7989888328125595,-0.343618641980475,-0.10552492668621699,295.32,244.44,0.4673407781249604,0.5326592218750396,0.07821639899709996,-8.103825569152832,2.707585573196411
108,10800,-0.8349718167181084,0.5218160424692843,-0.8921367575771524,-0.3830792541029087,-0.08157184750733139,210.72,206.52,0.4052421616152316,0.5947578383847685,0.07669240229829292,-8.336116790771484,2.461884021759033
109,10900,-0.02471254869111174,0.9588705169594358,-0.6065024858411969,-0.26135819466761057,-0.11572238514173998,264.6,327.32,0.5956650094392021,0.40433499056079797,0.07456362612624019,-8.038291931152344,3.0680172443389893
110,11000,-0.3043151038755981,0.7150331863455189,-0.6193340785048118,-0.2679555606899122,-0.13205865102639297,280.32,395.16,0.5871106143301256,0.41288938566987454,0.07276677639093189,-8.031316757202148,2.375422954559326
111,11100,-0.35789559639147067,0.6862466731288369,-0.6311852131199294,-0.27239791661543195,-0.14055913978494622,331.48,387.48,0.579209857920047,0.4207901420799529,0.07128329618674073,-7.663430213928223,1.7453200817108154
112,11200,-0.6288221436104299,0.47244544298470104,-0.6702825816981519,-0.289917556216627,-0.14106744868035193,341.12,380.44,0.5531449455345654,0.44685505446543466,0.06984972434771614,-7.640850067138672,3.5657949447631836
113,11300,-1.0851920886709143,0.128813469932442,-0.7356952040803804,-0.3201246262727315,-0.15818572825024438,380.68,428.44,0.5095365306130799,0.4904634693869202,0.06819145533256907,-7.992734909057617,2.34069561958313
114,11400,-0.07589333876443598,1.0141356067482767,-0.6785778530774692,-0.29264757337365965,-0.11880351906158358,292.52,315.16,0.5476147646150205,0.4523852353849795,0.06639942455954564,-7.605201244354248,3.1665148735046387
115,11500,-1.1337931302195854,0.10683284241706835,-0.7580973326166146,-0.33094310727321596,-0.15158553274682307,370.6,404.76,0.49460177825559026,0.5053982217444097,0.06463565310667944,-7.027379035949707,2.0522818565368652
116,11600,0.3144873301799638,1.431059877232515,-0.7066143057011816,-0.3043081924755148,-0.10565004887585533,245.4,295.0,0.5289237961992125,0.4710762038007876,0.06317578849939831,-7.879973411560059,3.474602222442627
117,11700,-0.4644589454528774,0.6711376623511585,-0.7182767268366327,-0.3104186101951647,-0.1069012707722385,235.16,311.64,0.5211488487755783,0.47885115122442173,0.06228729060557572,-7.7772674560546875,2.6858749389648438
118,11800,-1.3416892367518454,0.1250776057250108,-0.9501540157993422,-0.4211915168045913,-0.09542130987292277,217.56,270.52,0.36656398946710533,0.6334360105328948,0.061540871295421615,-7.036626815795898,1.78025221824646
119,11900,0.6561651019975565,1.689714823874511,-0.6608733096583194,-0.2843557866076866,-0.0883206256109482,198.04,253.72,0.5594177935611203,0.44058220643887963,0.060835602302590296,-7.579324245452881,2.12099027633667
120,12000,-1.009555345162034,0.28064831396408496,-0.8156785675624328,-0.3622279263632951,-0.11229716520039101,247.72,326.68,0.4562142882917113,0.5437857117082887,0.06005804707344157,-7.640259265899658,3.1240530014038086
121,12100,-1.304523083000895,0.13389783580891113,-0.9190802117483158,-0.41146973931955516,-0.1078709677419355,230.2,321.56,0.38727985883445626,0.6127201411655437,0.05919647222744698,-7.323944091796875,2.6457443237304688
122,12200,-1.2539892571775142,0.20077370043100473,-0.9177106974802771,-0.4202741565114285,-0.11677810361681332,230.96,366.36,0.38819286834648187,0.6118071316535181,0.05831112750788185,-7.638769149780273,1.5670385360717773
123,12300,0.258997969545459,1.415922799203387,-0.7275607327541727,-0.3135791506671958,-0.11578494623655913,259.16,333.08,0.5149595114972183,0.48504048850278175,0.05721660469197534,-6.579689025878906,2.882719039916992
124,12400,-0.06878649530445417,0.982266993884408,-0.6555013220052389,-0.28239478692946895,-0.11315738025415444,253.4,325.4,0.5629991186631742,0.43700088133682585,0.0562895094009109,-7.78759765625,1.8657845258712769
125,12500,-0.05783577817218708,1.099380774926959,-0.7354684562792407,-0.31659853670260324,-0.10514956011730206,240.6,297.24,0.5096876958138394,0.49031230418616056,0.0555666540638031,-6.82124137878418,2.3366708755493164
126,12600,-1.0967759778378738,0.11838669892933744,-0.7696230718015028,-0.3331329578493842,-0.11240664711632457,317.4,257.56,0.4869179521323316,0.5130820478676684,0.054773507318389925,-6.68620491027832,3.0131266117095947
127,12700,0.13083325690662634,1.3142335637051112,-0.7549050591511017,-0.32515995927983665,-0.10333528836754644,223.32,305.24,0.4967299605659321,0.5032700394340678,0.05410271917147084,-7.381662845611572,2.061077117919922
128,12800,0.06720846625358717,1.2416544307551651,-0.7504994928399938,-0.32311362708680397,-0.10083284457478005,219.8,295.96,0.4996670047733376,0.5003329952266625,0.05354475082614577,-6.216970443725586,2.0640106201171875
129,12900,-0.6666258303742252,0.4055457292161117,-0.6685146973311827,-0.28859918874986773,-0.11505767350928642,287.44,301.08,0.5543235351125447,0.4456764648874552,0.05289874634601237,-7.36250114440918,2.5633645057678223
130,13000,0.13997723138893492,1.3981238245132324,-0.8120536118282922,-0.3491389246000128,-0.09695405669599218,232.92,263.0,0.4586309254478052,0.5413690745521949,0.052415554335760374,-5.666925430297852,3.462533712387085
131,13100,-1.4460644324532708,0.15769870470944364,-1.0661111332923077,-0.4628523948772498,-0.07479960899315738,239.92,142.68,0.28925924447179496,0.7107407555282049,0.05200770285418274,-6.602269172668457,2.260043144226074
132,13200,0.07792995107316511,1.3607120731619469,-0.8382451465740016,-0.3602202599722583,-0.08431671554252196,212.44,218.84,0.441169902283999,0.558830097716001,0.051777087083311,-6.629356861114502,3.1229255199432373
